,prozhito_id,sex,occupation_type,relationship_status,education_level,social_class,geographic_type,historical_context,desc_clean
11,2492,M,technical,unknown,unknown,unknown,urban,blockade_witness,"инженер-путеец, железнодорожник, сотрудник ораниенбаумского эксплуатационного участка октябрьской железной дороги. свидетель блокады ленинграда"
12,2493,M,military,unknown,unknown,unknown,urban,unknown,комиссар-командир партизанского отряда в ленинградской области.
13,2433,M,technical,unknown,unknown,unknown,unknown,unknown,"электрик в шатуре, в годы ведения дневника - механик на метрострое. расстрелян в магаданском лагере в 1937 году."
14,3898,M,intellectual,unknown,advanced,unknown,unknown,unknown,"палеонтолог, турист, собиратель песен. доктор геолого-минералогических наук."
15,1954,M,administrative,married,unknown,unknown,urban,unknown,"мастер на атз. отец маленькой дочки. дневник вел когда остался вдвоем с ребенком во время туристической поездки супруги (г. рубцовск, 1966 г.). год смерти - 1997 или 1998"
16,1620,M,military,unknown,unknown,unknown,unknown,war_participant,"во время написания дневника &mdash; артиллерист, участник первой мировой войны."
17,2585,M,intellectual,unknown,unknown,unknown,unknown,unknown,"литературный критик, литературовед."
18,7567,M,student,unknown,unknown,unknown,urban,unknown,во время ведения дневника - ленинградский студент. участник градозащитного движения в ленинграде в 1980-е годы. дневник вел в 1987 году.
19,7736,M,intellectual,unknown,higher,unknown,unknown,unknown,в 1939 году был старшим преподавателем кафедры географии пермского педагогического института. воспоминания посвящены в.а. кондакову
20,2293,M,student,unknown,secondary,unknown,unknown,unknown,в годы ведения дневника - гимназист.
21,8529,M,intellectual,unknown,unknown,unknown,unknown,unknown,"востоковед, коллекционер, переводчик корана."
22,4534,M,technical,unknown,unknown,unknown,unknown,unknown,главный инженер на оборонном заводе в москве. арестован весной 1942 года по обвинению в выпуске бракованной продукции и ведении антисоветских записей. освобожден в 1943 году. в 1946 году дело прекращено.
23,1716,M,administrative,unknown,unknown,unknown,urban,unknown,"бухгалтер в колхозе, житель деревни котажка (шенкурский район архангельской области)."
24,7104,M,unknown,unknown,secondary,unknown,unknown,war_participant,родился в имении сонино ржевского уезда тверской губернии. выпускник тверской гимназии. участник первой мировой войны. вел дневник с 1915 года.
25,4088,M,unknown,unknown,unknown,unknown,unknown,unknown,"переводчик-германист, литературный критик. на протяжении более чем 40 лет сотрудник имли ан ссср. в 1990 - 2000-е годы регулярно печатался в литературной периодике консервативного направления."
26,3049,M,student,unknown,secondary,unknown,unknown,unknown,"молодой карел, учащийся в 10-м классе средней школы в деревне язвица. дневник вел в 1960-1961 гг."
27,9752,M,manual_labor,unknown,unknown,unknown,urban,unknown,житель черноголовки. токарь в институте проблем технологии микроэлектроники.
28,8548,F,student,unknown,unknown,unknown,unknown,unknown,московская школьница. вела дневник в 1975 - 1978 годах.
29,2487,F,unknown,unknown,unknown,upper_class,urban,blockade_witness,"этнограф, музейный работник. свидетельница блокады ленинграда."
30,2054,M,intellectual,unknown,unknown,unknown,urban,unknown,врач. во время ведения дневника &mdash; врач военного госпиталя в г. полоцк витебской губернии.
31,957,M,student,unknown,unknown,unknown,unknown,unknown,школьник. дневник вел в 1990-е.
32,2375,F,student,unknown,unknown,unknown,urban,unknown,"жительница петрограда, школьница."
33,5703,M,administrative,unknown,unknown,middle_class,urban,unknown,служащий в городе пермь.
34,3334,F,intellectual,unknown,vocational,unknown,unknown,unknown,"в годы ведения дневника - школьница старших классов, преподаватель физики и электротехники в пермском военном авиатехническом училище."
35,2494,M,intellectual,unknown,secondary,unknown,urban,blockade_witness,"во время ведения дневника - учитель литературы в школе в ленинграде, аспирант ленинградского института усовершенствования учителей. свидетель блокады ленинграда."
36,2446,F,unknown,unknown,secondary,unknown,urban,blockade_witness,"в июне 1939 года окончила первую ленинградскую фельдшерскую школу, работала санитарным фельдшером в лаборатории смольнинского района. свидетельница блокады ленинграда. с февраля 1942 года эвакуирована в ярославскую область."
37,9564,M,unknown,unknown,secondary,unknown,urban,unknown,"родился в с. ярки (челябинская губерния) в крестьянской семье. учился в церковно-приходской школе. в 1916-1917 гг. участвовал в первой мировой войне. в 1919-1920 гг. участовал в гражданской войне (в составе армии колчака, затем - в красной армии). работал на разных должностях в ярковском и закоуловском сельских советах."
38,6569,M,intellectual,unknown,unknown,unknown,urban,unknown,"историк, краевед. в 1920-х годах школьный преподаватель истории в различных городах ссср. с 1929 года жил в перми. вел дневник в 1920 - 1922 и в 1936 - 1939 годах."
39,870,M,technical,unknown,unknown,unknown,unknown,unknown,инженер в московском трамвайном тресте. расстрелян в 1937 году.
40,4054,M,military,unknown,unknown,unknown,unknown,war_participant,"советский поэт. участник войны, пехотинец, лейтенант. закончил литинститут им. горького, работал в отделе критики журнала &laquo;знамя&raquo;."
41,2405,F,intellectual,married,unknown,unknown,unknown,unknown,"журналист, жена фотокорреспондента в.а. тёмина."
42,2756,M,unknown,unknown,unknown,unknown,urban,unknown,"ответственный исполнитель отдела снабжения завода им. куйбышева. арестован в ноябре 1938 г. по ст. 58-10 ч. ? ук., в 1939 г. оправдан."
43,828,M,student,unknown,unknown,unknown,unknown,unknown,"токарь-горизонтальщик, студент рабфака, рабкор газеты &laquo;большевик&raquo;. в ноябре 1937 года призван на службу в красную армию, после обучения получил должность помощника политрука."
44,3911,M,administrative,unknown,unknown,unknown,unknown,unknown,"директор завода. во время войны &ndash; капитан танковых войск, воевал на западном фронте."
45,2486,M,unknown,unknown,unknown,unknown,urban,blockade_witness,свидетель блокады ленинграда.
46,2267,F,unknown,unknown,unknown,unknown,unknown,unknown,колхозница
47,8046,M,unknown,unknown,unknown,unknown,unknown,war_participant,участник великой отечественной войны. после войны работал в органах прокуратуры пермской области.
48,5226,M,unknown,unknown,unknown,unknown,urban,unknown,уроженец с. вылково алтайского края. воевал в составе 1-го украинского фронта.
49,4853,M,intellectual,unknown,advanced,unknown,unknown,unknown,"литературовед. доктор филологических наук (1968), профессор. преподаватель кафедры русской литературы лгпи &mdash; ргпу им. а. и. герцена в 1962&mdash;1998 годах. вел дневник в 1941 - 1942 годах, во время эвакуации из умани в подмосковье."
50,1297,M,military,unknown,unknown,unknown,unknown,war_participant,"лейтенант, участник войны, командир огневого взвода 5 батареи 381 истребительного противотанкового артполка. умер после 1985."
51,5302,F,student,unknown,unknown,unknown,urban,unknown,"жительница г. харькова, школьница."
52,7304,M,unknown,unknown,unknown,unknown,unknown,unknown,"командир взвода&nbsp;27-го пехотного полка 12-й пехотной дивизии вермахта (начинал войну унтер-офицером, а закончил обер-лейтенантом), прошел восточный фронт и полностью весь демянский &quot;котел&quot; с 1941 по 1943 год."
53,4792,M,technical,unknown,unknown,unknown,urban,blockade_witness,инженер обуховского завода. свидетель блокады ленинграда.
54,8173,M,manual_labor,unknown,unknown,working_class,unknown,unknown,во время февральской революции - рабочий лысьвенского завода.
55,5903,F,unknown,unknown,unknown,unknown,urban,blockade_witness,"домохозяйка, затем железнодорожница. свидетельница блокады ленинграда."
56,8175,M,unknown,unknown,unknown,unknown,urban,unknown,"бывший красногвардейец, проживавший в г. верещагино"
57,5913,M,student,unknown,vocational,unknown,urban,unknown,курсант ленинградского училища военных сообщений. вел дневник в 1974 году.
58,623,M,unknown,unknown,advanced,unknown,unknown,unknown,"доктор физико-математических наук, прикладной математик, лингвист"
59,7280,F,unknown,unknown,unknown,unknown,urban,unknown,"молодая девушка, жительница города красный лиман сталинской области. вела дневник в 1942 - 1943 годах во время оккупации."
60,2763,F,intellectual,unknown,unknown,unknown,urban,unknown,ленинградка. военная медсестра на ладоге и под сталинградом.
61,610,M,intellectual,unknown,secondary,unknown,unknown,unknown,"учитель истории, был директором школы в шпикове, во время ведения дневника - офицер красной армии. погиб на фронте."
62,2521,M,intellectual,unknown,unknown,unknown,unknown,unknown,"журналист, редактор армейской газеты &quot;вперед, за родину&quot; 22 армии, ответственный редактор газеты &quot;суворовец&quot; 2-го прибалтийского фронта, затем войск курляндского направления. дневник вел в 1960-е, записывал в основном анекдоты и сны."
63,3734,F,unknown,unknown,unknown,unknown,unknown,unknown,"воспитатель в детском саду, автор дневника автомобильного путешествия по ссср с июня по начало августа 1984 года."
64,1635,M,student,unknown,secondary,unknown,urban,unknown,"гимназист, житель г. мелекесс (димитровград), свидетель гражданской войны. поже - кандидат технических наук, сотрудник никфи."
65,8569,M,unknown,married,secondary,unknown,urban,unknown,"родился в деревни нижние булдаки кировской области, в семье крестьян-середняков в 12.07.1916. после окончания школы с сентября 1932-го по июль 1935 года учился в кировском медицинском техникуме наркомздрава. закончил по специальности - помощник врача-лечебника затем работал медицинским фельдшером в больнице в трудпосёлке № 1 поломского района кировской области (1935-1937 гг.). в трудпосёлке познакомился со своей будущей женой - весниной евдокией михайловной, куда она была распределена после окончания котельнический агропедтехникум (дошкольное отделение). служил на флоте с 1937 по 1939 гг. лекарским помощником владивостокского района службы наблюдения и связи тихоокеанского флота. после службы на флоте вернулся в киров, где поступил на службу в рабоче-крестьянскую красную милицию, на должность оперуполномоченного спецназначения. из милиции в 1940 году был направлен на учёбу в горьковскую межкраевую школу нкгб ссср. с началом войны булдакова с.д. назначают оперуполномоченным особого отдела нквд карельского фронта. в 1943 г. он вступает в ряды вкп(б) и становиться секретарем комсомольской организации особого отдела нквд карельского фронта. с 1943 г. по 1944 г. &ndash; оперуполномоченный отдела контрразведки &laquo;смерш&raquo; курсов младших лейтенантов, затем 54 управления военно&ndash;полевого строительства карельского фронта, а затем 10 гвардейской стрелковой дивизии. в декабре 1945 часть дивизию выводят из польши в ахалкалаки. в 1948 году получает назначение на крайний север в г. мурманск, в распоряжение управления мгб по мурманской области, на должность начальника 5 отделения 5 отдела. в 1951 году был избран депутатом в кировский районный совет депутатов трудящихся в г. мурманска. после того, как вышел в отставку в 1959 году работал директором гостиницы &laquo;север&raquo; в мурманске. позднее переехал вместе с семьей в отцовский дом в г. кирове. занимался общественной работой, был членом совета ветеранов кгб. умер в апреле 1988 года, вслед за ним, через месяц умерла жена. похоронены оба на макарьевском кладбище в г. кирове."
66,2929,M,unknown,unknown,unknown,unknown,unknown,war_participant,"поэт. свидетель немецкой оккупации курской области, позже - солдат, участник войны."
67,2474,M,military,unknown,unknown,unknown,urban,blockade_witness,во время ведения дневника - инструктор василеостровского рк вкп (б) и помощник военного прокурора ленинграда. свидетель блокады ленинграда.
68,5366,F,intellectual,unknown,unknown,unknown,urban,blockade_witness,врач. во время блокады ленинграда работала терапевтом в амбулатории фабрики &laquo;красное знамя&raquo;. свидетельница блокады ленинграда и эвакуации.
69,9763,F,unknown,unknown,unknown,unknown,unknown,unknown,nan
70,723,F,student,unknown,unknown,unknown,unknown,unknown,московская школьница. дневник вела в эвакуации в байрам-али.
71,3719,M,unknown,family_member,secondary,unknown,unknown,unknown,в годы ведения дневника - ученик московской школы №110.
72,2367,F,intellectual,unknown,unknown,unknown,urban,unknown,учитель русского языка и литературы. во время ведения дневника &mdash; жительница великого устюга и ученица 10 класса.
73,4892,F,technical,unknown,unknown,unknown,urban,unknown,инженер-конструктор. жительница москвы.
74,9722,M,unknown,unknown,unknown,unknown,urban,war_participant,уроженец ленинграда. участник войны. принимал участие в обороне ленинграда и в прорыве блокады. после демобилизации в 1947 работал на ленинградском заводе искусственного волокна. был командиром отряда завода в рядах добровольной народной дружины.
75,3016,F,intellectual,unknown,secondary,unknown,urban,unknown,"окончила нижегородскую мариинскую женскую гимназию, получила аттестат домашней наставницы, до революции 1917 года работала классной надзирательницей в одной из частных женских гимназий нижнего новгорода , после революции - учительницей математики в школе."
76,4311,F,technical,unknown,unknown,unknown,urban,unknown,"жительница тбилиси, архитектор."
77,2927,F,unknown,unknown,unknown,unknown,unknown,unknown,ученица старших классов в одной из ульяновских школ. дневник вела в 1948 году.
78,1801,M,military,unknown,unknown,unknown,unknown,unknown,родился в челябинске. участвовал в гражданской войне на стороне красной армии. во время великой отечественной войны служил в 618 минометном полку. подполковник.
79,1953,M,unknown,unknown,unknown,unknown,urban,unknown,житель посёлка томпа иркутской области. вёл дневник в 1924-1935 гг.
80,1539,F,creative,unknown,unknown,unknown,unknown,unknown,"поэтесса и прозаик, журналист."
81,2473,F,unknown,unknown,unknown,unknown,urban,blockade_witness,политработник. свидетельница блокады ленинграда.
82,992,F,intellectual,unknown,unknown,unknown,unknown,unknown,"театровед, автор летописи жизни к.с. станиславского."
83,1590,M,unknown,unknown,unknown,upper_class,urban,unknown,"год рождения - 1894 или 1895. окончив духовную семинарию, служил священником, затем заведовал якутской городской библиотекой. член партии социалистов-революционеров, во время ведения дневника (1919) &mdash; арестант. после эмиграции в сша (1919) известен как библиофил и библиограф русской литературы."
84,1009,M,student,family_member,unknown,unknown,urban,unknown,"школьник, ученик 5 класса (1936 год). житель нальчика."
85,2199,F,unknown,unknown,unknown,unknown,unknown,unknown,вела дневник во время эвакуации (1943-1944) в с. красное-на-волге.
86,1852,M,creative,unknown,unknown,unknown,urban,unknown,"писатель, драматург, переводчик, педагог. наиболее известен как автор цикла книг &laquo;волшебник изумрудного города&raquo;."
87,4770,F,administrative,parent,unknown,unknown,unknown,unknown,мать ученика пианистки и педагога е. ф. гнесиной. с 1950-х годов ее домашний секретарь.
88,931,F,administrative,unknown,secondary,unknown,urban,blockade_witness,"педагог, завуч, позже - директор школы в ленинградской области. свидетель блокады ленинграда."
89,7103,F,unknown,unknown,unknown,unknown,urban,unknown,"жительница москвы, медик. вела дневник в 1907 - 1952 годах."
90,386,M,creative,unknown,unknown,unknown,unknown,unknown,"геолог, специалист в области метеоритики, исследователь феномена тунгусского метеорита, писатель и поэт."
91,3435,M,administrative,unknown,unknown,unknown,urban,unknown,"предприниматель, офицер, издатель, общественный деятель. городской голова г. пензы. в советское время - бухгалтер. подвергался репрессиям, отбыл 10 лет ссылки. мемуарист."
92,944,F,manual_labor,child,secondary,working_class,unknown,unknown,"гимназистка, дочь участника вооруженного восстания рабочих 1905 года в красноярске."
93,2584,F,student,unknown,unknown,unknown,unknown,unknown,в годы ведения дневника - новосибирская школьница.
94,6175,F,creative,unknown,unknown,unknown,urban,unknown,"жительница ленинграда. старший научный сотрудник отдела геологии горного музея, палеонтолог, художница."
95,2472,M,technical,unknown,unknown,unknown,urban,blockade_witness,инженер-электрик. во время ведения дневника - старший мастер 3 цеха завода им. сталина в ленинграде. свидетель блокады ленинграда.
96,550,M,administrative,unknown,unknown,party_member,unknown,unknown,"заведующий орготделом крымского цик, во время войны &mdash; командир второго района партизанских отрядов крыма, член подпольного обкома партии."
97,7582,F,unknown,unknown,higher,unknown,urban,unknown,педагог. выпускница женского педагогического института. сотрудница ленинградского государственного педагогического института им. а. и. герцена.
98,2916,F,intellectual,unknown,unknown,unknown,unknown,unknown,учительница младших классов и рисования. свидетельница немецкой оккупации.
99,968,F,student,unknown,unknown,unknown,unknown,unknown,"школьница, воспитывалась в берлине родственниками родителей. в 1937 году вернулась в ссср. преподавательница немецкого языка."
100,2614,M,unknown,unknown,unknown,unknown,urban,blockade_witness,"моряк, репатриант. во время ведения дневника - пенсионер. свидетель блокады ленинграда."
101,3337,M,intellectual,unknown,advanced,unknown,unknown,unknown,"журналист, преподаватель, кандидат филологических наук, общественный и политический деятель. дневник ведет с 16 лет."
102,573,F,unknown,unknown,unknown,unknown,unknown,unknown,молодая девушка.
103,1648,M,intellectual,family_member,unknown,unknown,unknown,war_participant,"биолог, ученик а.н. формозова. участник войны. на протяжении жизни вел подробный дневник наблюдений за птицами."
104,8228,M,intellectual,unknown,advanced,unknown,urban,unknown,профессор геодезии московского межевого и ряда других институтов. в 1919 приглашен мос. коммунхозом на организацию основных нивелирных работ москвы при разработке нового генплана города. с 1924 руководил геодезическим подотделом днепростроя.
105,7287,M,unknown,unknown,unknown,unknown,unknown,unknown,"физик-термоядерщик. работал с и.в. курчатовым, автор книги о нем."
106,864,F,creative,unknown,unknown,unknown,unknown,unknown,актриса театра и кино.
107,1067,M,student,unknown,vocational,unknown,unknown,unknown,"курсант, студент ставропольского гос. пед. училища иностранных языков. подвергался политическим репрессиям."
108,4245,M,intellectual,parent,advanced,unknown,unknown,unknown,"эрлен исаакович гольдман родился в москве в семье белорусских евреев. у него был один младший брат - адольф исаакович гольдман. отец ушел на фронт и воевал, мать во время войны оставалась в москве. дед учился на врача в 40е. в 1945 году исаак гольдман вернулся с войны и почти сразу умер от сердечного приступа. эрлен продолжал учится на врача и ходил в театральную студию, а адольф учился живописи. их мать от стресса сошла с ума и по сути дед содержал младшего брата и мать. в начале 50-х эрлен познакомился с майей исааковной эпштейн и они вскоре поженились. примерно тогда же он защитил соискателем (в аспирантуру не брали по национальности) кандидатскую. они жили втроём с его матерью на кропоткинской, дед работал на заводе мэлз врачом-гигиенологом и как раз защитился, собрав там материалы. сильно исправил условия труда на заводе. бабушка работала косметичкой в салоне красоты. в апреле 1955 года у них родился сын борис. мать эрлена съехала от них в начале 60-х - адольфу дали квартиру. в конце 60-х борис попал под машину и бабушка ушла с работы навсегда - чтобы сидеть с ним. после мэлз эрлен работал на лесозаготовке. там собирал материалы для докторской диссертации, которую в 70-х защитил, тоже соискателем. в конце 70-х получил звание профессора и начал неплохо зарабатывать. всю жизнь был беспартийным, ни с кем из органов не сотрудничал. каждое лето эрлен ездил с семьей в литву на турбазу от дома ученых вначале на озеро свента, а затем на озеро азавас. &nbsp; в начале 80-х у него был инфаркт, но он выжил. после поехал работать на строительство бам в ужасающие условия, там случился второй инфаркт, ставший последним. борис привёз тело в москву. дед похоронен на востряковском кладбище в москве."
109,2471,F,administrative,unknown,unknown,unknown,urban,blockade_witness,во время ведения дневника - заведующая детдомом №58 в ленинграде. свидетельница блокады ленинграда.
110,1732,M,unknown,unknown,unknown,unknown,unknown,unknown,главный агроном передового колхоза &quot;рассвет&quot;
111,6752,F,unknown,unknown,unknown,unknown,urban,blockade_witness,"свидетельница блокады ленинграда. умерла во время блокады, после февраля 1942 года."
112,1316,F,creative,unknown,unknown,unknown,unknown,unknown,"писательница, художник."
113,960,M,unknown,unknown,unknown,unknown,unknown,unknown,"выходец из старинного священнического рода. педагог-словесник, борец с неграмотностью. в 1938 и повторно в 1949 арестован, дневник вел в ссылке, где и умер."
114,1474,F,unknown,unknown,unknown,unknown,urban,blockade_witness,свидетельница блокады ленинграда
115,6024,M,intellectual,unknown,higher,unknown,unknown,unknown,"журналист. во время ведения дневника студент 3 курса факультета журналистики мгу, собственный корреспондент демократической газеты &laquo;саратов&raquo; в москве."
116,4828,M,student,unknown,unknown,unknown,unknown,unknown,школьник из новокузнецка. внук исаака гринберга. вел дневник в 1987 году во время туристической поездки в торжок.
117,2244,M,intellectual,unknown,unknown,unknown,unknown,unknown,геолог.
118,2470,M,administrative,unknown,unknown,unknown,urban,blockade_witness,во время ведения дневника - заведующий сектором печати ленинградского горкома. свидетель блокады ленинграда.
119,612,F,military,married,unknown,unknown,urban,unknown,"медик, врач-педиатр. родилась в екатеринославе, после 1907 г. переехала с семье в петербург. в 1917 г. окончила гимназию. в 1918-1924 гг. училась в ленинградском медицинском институте. в 1926-1928 гг. проживала и работала в перми, затем в ленинграде. в 1941-1944 гг. находилась с детьми в эвакуации в чимкенте. жена военного врача максима рапопорта, мать константина рапопорта и ларисы кнастер.&nbsp;"
120,961,M,intellectual,parent,secondary,unknown,urban,unknown,"уроженец села мосолово, окончил филологическое отделение московского университета. работал учителем русского языка в челябинске (середина 20-х гг.), затем - преподавал в школе в г. тушино, в маи и педагогическом институте. в 1941 году - участник обороны москвы. вёл школьный пушкинский кружок. писал стихи с юности до последних лет жизни. отец 10 детей."
121,1855,F,intellectual,unknown,secondary,unknown,urban,unknown,"педагог, историк-филолог. в момент ведения дневника - ученица казанской ксенинской гимназии."
122,1787,M,unknown,unknown,unknown,unknown,unknown,unknown,"актёр театра и кино, режиссёр."
123,7937,M,unknown,unknown,unknown,unknown,urban,war_participant,уроженец харькова. участник войны.
124,2264,M,intellectual,unknown,unknown,unknown,unknown,unknown,"журналист, сотрудник пензенских газет и областного телевидения, краевед. в конце войны - старший лейтенант административной службы."
125,1569,M,military,unknown,unknown,unknown,unknown,war_participant,"участник войны, старший лейтенант, артиллерист. после войны - архивист."
126,1956,M,student,unknown,secondary,unknown,urban,unknown,учащийся средней школы № 981 красногвардейского района г. москвы. свидетель событий августовского путча 1991 года.
127,1818,F,intellectual,unknown,secondary,unknown,unknown,unknown,на момент написания дневника - ученица школы во владикавказе. позже - учительница английского языка.
128,6027,F,student,unknown,higher,unknown,unknown,unknown,"москвичка. школьница, впоследствии студентка московского педагогического института им. в. п. потемкина. во время войны была в эвакуации с интернатом."
129,954,F,unknown,unknown,secondary,unknown,unknown,unknown,выпускница музыкальной школы на воронцовской (ныне дмш им. ипполитова-иванова). в настоящее время - преподает фортепиано в своей школе.
130,1028,M,intellectual,unknown,advanced,unknown,unknown,unknown,"кандидат физико-математических наук, научный сотрудник."
131,3632,M,student,unknown,secondary,unknown,urban,unknown,"уроженец одессы, учащийся 10-го класса 181 школы коминтерновского района москвы, 13 декабря 1939 года арестован по обвинению в антисоветской агитации. 9 мая 1940 года признан виновным и приговорен к 3 годам лишения свободы. дневник приложен к судебно-следственному делу."
132,929,M,intellectual,unknown,unknown,unknown,urban,unknown,"литературовед, филолог, архивист, педагог. специалист в области русской поэзии золотого и серебряного веков."
133,4253,M,military,unknown,unknown,unknown,urban,unknown,"уроженец села юревичи полесской области (белоруссия). до начала войны старший политрук. во время войны служил в 86 стрелковой дивизии, получил звание капитана. погиб на фронте. вел дневник в 1941 - 1943 годах."
134,5435,M,unknown,unknown,unknown,unknown,urban,war_participant,житель подмосковья. работник правдинского лесничества. участник войны.
135,831,M,technical,unknown,unknown,unknown,unknown,unknown,"инженер-механик, совершивший в 1913 году практическое плавание на корабле ""владимир"" на дальний восток и обратно до батуми."
136,2449,F,unknown,parent,unknown,unknown,unknown,unknown,"мать новорожденной девочки, вела дневник наблюдений за ребенком с конца 1939."
137,1618,M,military,unknown,unknown,unknown,unknown,unknown,"во время войны младший сержант гвардии, после - сотрудник отдела кадров в одном из подразделений органов государственой безопасности. в годы работы над дневником-воспоминаниями - пенсионер, дачник."
138,1830,M,manual_labor,unknown,unknown,working_class,rural,unknown,крестьянин деревни ямская гора (шенкурский район архангельской области).
139,5671,M,unknown,unknown,unknown,unknown,urban,unknown,историк-архивист. в 1986 - 1991 гг. заместитель начальника главархива ссср. вел дневник в 1943 году в эвакуации.
140,8279,M,unknown,unknown,unknown,unknown,unknown,unknown,работник колхоза в тверской области.
142,826,F,unknown,unknown,secondary,unknown,unknown,unknown,"помощник санитарного врача в санэпидемстанции, до этого сотрудник отдела кадров, закончила лётную школу, совершила большое количество прыжков с парашютом."
143,5274,M,unknown,unknown,unknown,unknown,urban,blockade_witness,работник октябрьской железной дороги. свидетель блокады ленинграда.
144,7757,F,unknown,unknown,unknown,unknown,urban,unknown,уроженка белополья сумского уезда харьковской губернии. во время войны была в эвакуации в узбекистане. в 1947 году закончила мхти. работала в нии - 4 в болшево.
145,2468,F,unknown,unknown,unknown,unknown,urban,blockade_witness,во время ведения дневника - председатель правления артели &laquo;красный футлярщик&raquo; в ленинграде. свидетельница блокады ленинграда.
146,979,F,student,parent,unknown,middle_class,unknown,unknown,"дочь п.н. зайцева, поэта, литературного секретаря и друга а. белого; мать кинооператора в. п. абрамова; представительница технической интеллигенции, сотрудница одного из московских нии. в годы ведения дневника школьница, позже - студентка. умерла в 2009 или в 2010."
147,3309,F,intellectual,child,higher,unknown,urban,unknown,"социолог и экономист. академик ран (ан ссср: 1981, членкор 1968), васхнил (1988), академии европы, доктор экономических наук (1965), профессор (1976). дочь карпова и. в. и де-метц (карповой) т. г., сестра черемисиной (карповой м. и.), внучка де-метца г. г."
148,2144,F,creative,unknown,unknown,unknown,unknown,unknown,"школьница, затем художница."
149,541,M,administrative,unknown,unknown,unknown,urban,unknown,"латыш, в годы ведения дневника - инструктор-животновод земской управы г. коврова. позже - директор совхоза &quot;гигант&quot;. репрессирован и расстрелян."
150,930,M,intellectual,married,advanced,unknown,unknown,unknown,"искусствовед, историк искусства, главный редактор журнала &laquo;искусство&raquo;, секретарь правления союза художников ссср, где возглавлял секцию критики, искусствознания и печати, кандидат искусствоведческих наук, заслуженный деятель искусств рсфср. супруг елизаветы малаховой."
151,1217,M,unknown,unknown,unknown,unknown,unknown,unknown,"студент-марксист, агент охранки, эмигрант. в годы первой мировой войны служил в иностранном легионе. в 1917 отправился в сша и канаду, чтобы пропагандировать четвертый заем свободы. во время войны рисовал, фотографировал и вел дневники."
152,2498,F,manual_labor,unknown,unknown,working_class,urban,blockade_witness,"рабочая на заводе &quot;северный трест&quot;, затем пионервожатая. свидетельница блокады ленинграда."
153,880,M,creative,unknown,unknown,unknown,unknown,unknown,композитор и музыкант-баянист
154,3741,M,intellectual,unknown,unknown,unknown,urban,unknown,житель москвы. геолог.
155,3740,F,intellectual,family_member,higher,unknown,unknown,unknown,"научный сотрудник института горючих ископаемых ан ссср, кандидат химических наук. родная сестра николая зонова. дневник вела в 1966 году во время поездки из москвы в астрахань."
156,4605,F,unknown,unknown,unknown,unknown,urban,unknown,жительница москвы. вела дневник в 1960 - 1970-х годах.
157,2298,M,technical,unknown,unknown,upper_class,unknown,unknown,"агроном, инженер-картограф, офицер. театрал, завсегдатай консерватории, любитель чтения."
158,374,M,intellectual,unknown,vocational,unknown,unknown,unknown,лейтенант. после ранения - преподаватель в артиллерийском училище.
159,5757,M,unknown,unknown,unknown,unknown,urban,unknown,житель поселка тучково в подмосковье. погиб на фронте.
